time,delta_T
0,0.0
3501,0.6043100000000621
7197,1.54966000000001
10798,2.468779999999981
14399,3.2175300000000107
18001,3.721859999999996
21602,3.9951800000000155
25203,4.124119999999948
29315,4.301280000000016
33428,4.439970000000017
37541,4.5092399999999735
41312,4.505709999999965
45615,4.456480000000056
49918,4.371419999999999
54221,4.141380000000023
60481,3.7837499999999977
64083,3.680259999999974
67684,3.505100000000027
71286,3.2424100000000013
74888,2.9701900000000006
78764,2.64323999999999
82614,2.514099999999983
