time,T
8872.72412936798,26.4348355663825
12509.0864774696,24.7295980511571
16145.4488255712,21.9281364190012
19781.8111736729,20.3447015834348
23127.2645339264,16.9342265529842
26909.0813759521,18.0913520097442
30545.4437240537,16.9342265529842
34181.8060721553,15.3507917174178
37818.168420257,13.0974421437272
41309.0762744345,11.5140073081608
44945.4386225362,12.6102314250913
48581.8009706378,11.5140073081608
52218.1633187394,11.5140073081608
55272.7076911448,10.8440925700365
59345.4335210186,10.904993909866
62981.7958691202,12.9756394640682
66472.7037232978,13.0365408038977
70109.0660713994,14.1327649208283
73745.4284195011,14.741778319123
77236.3362736786,15.8380024360536
80727.2441278562,16.8733252131547
81599.9710914006,17.8477466504263
84654.515463806,19.1266747868453
88145.4233179835,20.3447015834348
91636.3311721611,21.9281364190012
95418.1480141868,21.9281364190012
98909.0558683644,21.9890377588307
102545.418216466,20.3447015834348
106181.780564568,16.9951278928136
109672.688418745,14.8026796589525
113309.050766847,14.1327649208283
116799.958621024,13.584652862363
120581.77546305,12.0012180267966
124218.137811152,11.5140073081608
127854.500159253,10.8440925700365
131345.408013431,10.2959805115713
134981.770361533,9.62606577344702
138181.769227862,9.07795371498173
140654.495624571,8.77344701583435
143127.22202128,8.77344701583435
143854.4944909,7.73812423873325
146763.584369382,7.73812423873325
149527.219753939,7.43361753958587
152872.673114193,8.95615103532278
156072.671980522,9.68696711327649
157818.125907611,9.68696711327649
158690.852871155,11.6967113276492
159999.943316472,14.0109622411693
161309.033761788,15.6552984165652
163636.305664573,16.8733252131547
167272.668012675,19.0048721071864
170909.030360777,21.1973203410475
174690.847202802,22.9025578562728
178181.75505698,24.0596833130329
181963.571899006,24.7295980511571
185309.025259259,23.694275274056
188945.387607361,20.8928136419001
190690.841534449,18.8221680876979
192436.295461538,16.8124238733252
195927.203315716,14.8026796589525
199709.020157742,14.1327649208283
203345.382505843,13.0974421437272
206981.744853945,11.5140073081608

